YEAR,STATEFIP,age_group,mean_INCWAGE
2010,29,55-64,36289.071268917476
2010,29,65+,4883.215975644657
2010,29,nan,0.0
2010,30,18 and under,389.92607951873566
2010,30,19-25,15823.443690312859
2010,30,26-34,31925.182464538495
2010,30,35-54,37843.88884566163
2010,30,55-64,30768.764230505825
2010,30,65+,2901.285862191206
2010,30,nan,0.0
2010,31,18 and under,512.9559286922832
2010,31,19-25,19759.991932325374
2010,31,26-34,37316.866229599946
2010,31,35-54,44765.69509313808
2010,31,55-64,33194.63279247388
2010,31,65+,8133.963945997704
2010,31,nan,0.0
2010,32,18 and under,441.67315269010504
2010,32,19-25,16835.281716314475
2010,32,26-34,38559.18915077319
2010,32,35-54,43442.00628715874
2010,32,55-64,37253.91555079172
2010,32,65+,11562.42374915246
2010,32,nan,0.0
2010,33,18 and under,440.4220699969818
2010,33,19-25,16582.538716456773
2010,33,26-34,42550.672839917825
2010,33,35-54,50262.328170478315
2010,33,55-64,42361.85969038414
2010,33,65+,8816.346468212218
2010,33,nan,0.0
2010,34,18 and under,234.99277145262133
2010,34,19-25,14632.309504255743
2010,34,26-34,39640.29391360754
2010,34,35-54,59081.48170651791
2010,34,55-64,52005.18491446291
2010,34,65+,15122.85053677372
2010,34,nan,0.0
2010,35,18 and under,343.514352984627
2010,35,19-25,13092.901962073982
2010,35,26-34,26728.864531550516
2010,35,35-54,41395.42576835591
2010,35,55-64,35168.10483071728
2010,35,65+,7486.207341118495
2010,35,nan,0.0
2010,36,18 and under,281.2828444658292
2010,36,19-25,15288.738997030816
2010,36,26-34,40187.16731307891
2010,36,35-54,48030.20381148309
2010,36,55-64,39609.66268787792
2010,36,65+,8641.370326968095
2010,36,nan,0.0
2010,37,18 and under,199.81091028365867
2010,37,19-25,11430.259169337167
2010,37,26-34,35184.778153988285
2010,37,35-54,40105.86308650206
2010,37,55-64,31373.314691912237
2010,37,65+,5486.221495568345
2010,37,nan,0.0
2010,38,18 and under,405.12862395159465
2010,38,19-25,19594.974323584443
2010,38,26-34,32740.336999676238
2010,38,35-54,42917.49954528531
2010,38,55-64,37235.25832574466
2010,38,65+,9084.357449350597
2010,38,nan,0.0
2010,39,18 and under,311.3890262829391
2010,39,19-25,11579.413810249076
2010,39,26-34,30384.29586742041
2010,39,35-54,39811.17943495324
2010,39,55-64,35148.41115787079
2010,39,65+,4779.045203192326
2010,39,nan,0.0
2010,40,18 and under,257.87918355374376
2010,40,19-25,15860.898100734645
2010,40,26-34,33620.38185587731
2010,40,35-54,47516.7277660315
2010,40,55-64,32655.03825970107
2010,40,65+,7705.1184336759525
2010,40,nan,0.0
2010,41,18 and under,267.11242211500684
2010,41,19-25,13734.156251039709
2010,41,26-34,29954.341854790644
2010,41,35-54,45002.46627485222
2010,41,55-64,31417.943513772196
2010,41,65+,4483.572634077286
2010,41,nan,0.0
2010,42,18 and under,323.48348193211086
2010,42,19-25,14618.959304938615
2010,42,26-34,35003.97335138799
2010,42,35-54,44339.24131467777
2010,42,55-64,38164.340564908605
2010,42,65+,6343.524657948115
2010,42,nan,0.0
2010,44,18 and under,472.04271086771644
2010,44,19-25,13544.401858206527
2010,44,26-34,36731.728710454525
2010,44,35-54,44986.63754241638
2010,44,55-64,43108.78903205761
2010,44,65+,9644.172356413173
2010,44,nan,0.0
2010,45,18 and under,178.48318977980048
2010,45,19-25,11184.259259195214
2010,45,26-34,28499.44790146695
2010,45,35-54,38996.57852234524
2010,45,55-64,23615.17891637485
2010,45,65+,5479.54866982989
2010,45,nan,0.0
2010,46,18 and under,417.24465244716095
2010,46,19-25,15942.969692949468
2010,46,26-34,28952.68129759805
2010,46,35-54,40345.203207929124
2010,46,55-64,27268.97151716932
2010,46,65+,8232.844448389258
2010,46,nan,0.0
2010,47,18 and under,120.08887253158906
2010,47,19-25,13889.809668298676
2010,47,26-34,32303.604197685047
2010,47,35-54,40276.96837244318
2010,47,55-64,28330.713352507497
2010,47,65+,5170.386233305199
2010,47,nan,0.0
2010,48,18 and under,260.91756740725947
2010,48,19-25,14873.578682814203
2010,48,26-34,31730.666174113296
2010,48,35-54,42173.82586587217
2010,48,55-64,32490.716830768553
2010,48,65+,7115.171964279028
2010,48,nan,0.0
2010,49,18 and under,292.5641235514471
2010,49,19-25,20567.31028777655
2010,49,26-34,31305.777273779455
2010,49,35-54,44470.6747698538
2010,49,55-64,40529.60574612754
2010,49,65+,6783.017009256142
2010,49,nan,0.0
2010,50,18 and under,359.10252253065687
2010,50,19-25,11431.79589586419
2010,50,26-34,35853.940858628805
2010,50,35-54,41514.04933923138
2010,50,55-64,37308.7797156312
2010,50,65+,6809.593338956431
2010,50,nan,0.0
2010,51,18 and under,333.08889159152193
2010,51,19-25,19963.07990964051
2010,51,26-34,38171.094529485956
2010,51,35-54,56839.71713907039
2010,51,55-64,54995.795391726795
2010,51,65+,9005.913491128744
2010,51,nan,0.0
2010,53,18 and under,293.432659647368
2010,53,19-25,15161.833865770504
2010,53,26-34,36544.300330739585
2010,53,35-54,48986.049074691655
2010,53,55-64,41494.16293898745
2010,53,65+,9088.930944484759
2010,53,nan,0.0
2010,54,18 and under,166.80747598901849
2010,54,19-25,12007.754298334481
2010,54,26-34,31906.511841831063
2010,54,35-54,32584.279685803336
2010,54,55-64,24432.423064188722
2010,54,65+,3545.741507318546
2010,54,nan,0.0
2010,55,18 and under,345.2762472223659
2010,55,19-25,16866.49142429403
2010,55,26-34,33701.104140022115
2010,55,35-54,44536.70194952091
2010,55,55-64,36154.82379367142
2010,55,65+,6649.200095021525
2010,55,nan,0.0
2010,56,18 and under,411.1651174758882
2010,56,19-25,19363.923831691107
2010,56,26-34,40276.358627763904
2010,56,35-54,44173.11927863736
2010,56,55-64,41437.12668988259
2010,56,65+,5919.87295776599
2010,56,nan,0.0
2011,01,18 and under,195.30669805757316
2011,01,19-25,14081.644691306534
2011,01,26-34,28410.453031793284
2011,01,35-54,38396.6168213415
2011,01,55-64,29987.58372875928
2011,01,65+,10105.736084479822
2011,01,nan,0.0
2011,02,18 and under,479.9146107853767
2011,02,19-25,19841.949577920677
2011,02,26-34,38066.57282349468
2011,02,35-54,45071.47472824041
2011,02,55-64,39455.15341108809
2011,02,65+,11777.191725789746
2011,02,nan,0.0
2011,04,18 and under,172.79714906822392
2011,04,19-25,13426.957987274887
2011,04,26-34,31445.29596836333
2011,04,35-54,42622.4327847603
2011,04,55-64,33561.71085755979
2011,04,65+,6521.478992305859
2011,04,nan,0.0
2011,05,18 and under,294.5374373730722
2011,05,19-25,17508.796112652897
2011,05,26-34,29612.15620069028
2011,05,35-54,33039.132436609565
2011,05,55-64,23871.90710522116
2011,05,65+,5005.157701935853
2011,05,nan,0.0
2011,06,18 and under,210.17970378913836
2011,06,19-25,13018.24736865427
2011,06,26-34,32917.164409223165
2011,06,35-54,44474.99838243192
2011,06,55-64,38362.44065575733
2011,06,65+,8859.416580699623
2011,06,nan,0.0
2011,08,18 and under,178.11574208031993
2011,08,19-25,15318.285184362167
2011,08,26-34,37466.58569642735
2011,08,35-54,50532.639828191466
2011,08,55-64,42471.18704100367
2011,08,65+,12772.275709312597
2011,08,nan,0.0
2011,09,18 and under,257.75225838790277
2011,09,19-25,13455.61908588301
2011,09,26-34,42291.139178168734
2011,09,35-54,59155.38881764496
2011,09,55-64,51784.28216877106
2011,09,65+,7271.585954967572
2011,09,nan,0.0
2011,10,18 and under,529.5790114801575
2011,10,19-25,12666.711503882749
2011,10,26-34,36007.98378243764
2011,10,35-54,43110.46083377453
2011,10,55-64,34712.01883868064
2011,10,65+,8110.367858719526
2011,10,nan,0.0
2011,11,18 and under,68.77705348140482
2011,11,19-25,19109.331075702503
2011,11,26-34,55233.4497537187
2011,11,35-54,65373.76363630136
2011,11,55-64,58301.210382626225
2011,11,65+,16308.179963452825
2011,11,nan,0.0
2011,12,18 and under,191.78382506678705
2011,12,19-25,12722.817646503605
2011,12,26-34,31989.49746294878
2011,12,35-54,43112.20731528308
2011,12,55-64,34333.65865337515
2011,12,65+,7158.490801669486
2011,12,nan,0.0
2011,13,18 and under,163.99327530097256
2011,13,19-25,13667.089081167727
2011,13,26-34,31639.95480211946
2011,13,35-54,43391.226172749106
2011,13,55-64,36489.223798324805
2011,13,65+,6963.871389300561
2011,13,nan,0.0
2011,15,18 and under,181.09804175813755
2011,15,19-25,14559.289327815972
2011,15,26-34,30771.789104410058
2011,15,35-54,41268.80044026432
2011,15,55-64,37559.725735438835
2011,15,65+,7722.905498708721
2011,15,nan,0.0
2011,16,18 and under,217.3685264136591
2011,16,19-25,12302.259357185218
2011,16,26-34,22954.327958800288
2011,16,35-54,37745.865479113796
2011,16,55-64,36206.97799895103
2011,16,65+,7447.760995127127
2011,16,nan,0.0
2011,17,18 and under,240.09511982690205
2011,17,19-25,15148.96360077884
2011,17,26-34,33874.94568671359
2011,17,35-54,47140.5899161787
2011,17,55-64,39368.07514110764
2011,17,65+,10368.747164836992
2011,17,nan,0.0
2011,18,18 and under,271.5298740312223
2011,18,19-25,13409.139282125694
2011,18,26-34,29307.741396988928
2011,18,35-54,38436.582017616696
2011,18,55-64,34496.354796230204
2011,18,65+,7084.715270655849
2011,18,nan,0.0
2011,19,18 and under,449.402210589069
2011,19,19-25,18784.42678062027
2011,19,26-34,30960.272540373673
2011,19,35-54,40030.65741445465
2011,19,55-64,33323.58504959571
2011,19,65+,4131.744762066544
2011,19,nan,0.0
2011,20,18 and under,440.31399600843093
2011,20,19-25,15629.795887838456
2011,20,26-34,31772.60383178365
2011,20,35-54,46232.835926746455
2011,20,55-64,40029.86389847603
2011,20,65+,6000.644619115327
2011,20,nan,0.0
2011,21,18 and under,223.4434112762347
2011,21,19-25,13807.932266268517
2011,21,26-34,27007.57877883056
2011,21,35-54,33648.02864983607
2011,21,55-64,28902.863196191458
2011,21,65+,6479.82428030234
2011,21,nan,0.0
2011,22,18 and under,136.51852785028748
2011,22,19-25,12235.581594201156
2011,22,26-34,28636.257107352118
2011,22,35-54,41904.84655641868
2011,22,55-64,24430.1679505196
2011,22,65+,7360.255299436963
2011,22,nan,0.0
2011,23,18 and under,521.520343567483
2011,23,19-25,12996.8961181671
2011,23,26-34,30479.710563712288
2011,23,35-54,40187.18755325936
2011,23,55-64,32262.971760825163
