"","ENTITYNAME","CIPCode","CIPTITLE","ROI_Report_Group","DegreeLevelId","DEGREE","years_after_completion","annual_earnings"
"55","ALL","38.02","Religion/Religious Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"25724.52"
"56","ALL","51.35","Somatic Bodywork and Related Therapeutic Services.","Health","02","Certificate(>1 year)",1,"21225.18"
"57","ALL","51.12","Medicine.","Health","61","Doctoral Degree",1,"52413.56"
"58","ALL","09.04","Journalism.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"28338.36"
"59","ALL","51.99","Health Professions and Related Clinical Sciences, Other.","Health","02","Certificate(>1 year)",1,"24501.82"
"60","ALL","42.28","Clinical, Counseling and Applied Psychology.","Social and Behavioral Sciences and Human Services","11","Associate of Applied Science",1,"33616.14"
"61","ALL","42.99","Psychology, Other.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"48549.15"
"62","ALL","01.01","Agricultural Business and Management.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"76003.98"
"63","ALL","39.06","Theological and Ministerial Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"31762"
"64","ALL","16.09","Romance Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","61","Doctoral Degree",1,"31414.67"
"65","ALL","51.15","Mental and Social Health Services and Allied Professions.","Health","01","Certificate(<1 year)",1,"26560.799999999999"
"66","ALL","47.04","Precision Systems Maintenance and Repair Technologies.","Trades","11","Associate of Applied Science",1,"21942.400000000001"
"67","ALL","05.01","Area Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"26407.63"
"68","ALL","16.03","East Asian Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"30525.32"
"69","ALL","12.04","Cosmetology and Related Personal Grooming Services.","Trades","01","Certificate(<1 year)",1,"22339.279999999999"
"70","ALL","42.01","Psychology, General.","Social and Behavioral Sciences and Human Services","13","Associate Degree(AA or AS)",1,"53320.46"
"71","ALL","31.03","Parks, Recreation and Leisure Facilities Management.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"47563.73"
